threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),js-ng-setting href,js-response href
"垢版
|
0827 名無しどんぶらこ 2025/11/28(金) 05:06:33.62",">>807
動画では野田に圧勝したことになってるからな
応援動画にかかればその失態とやらも全て勝利になるそれを見て支持率は上がる
現代の大本営発表",,>>807,,ID:sPipRTKa0,2,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0828 警備員[Lv.0][新芽] 2025/11/28(金) 05:06:59.56",世話を焼かすなって,,,,ID:Di9CNROZ0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0829 名無しどんぶらこ 2025/11/28(金) 05:07:09.00","https://video.twimg....GPhKAkJAj_6Ie_CJ.mp4

サナエちゃんの天のお父様も日本が戦争を仕掛けようとして喜んでおられるだろうな、『もっともっと日本人の印象悪くしなさい！悪い国だから！！』",https://video.twimg.com/amplify_video/1938145398272741377/vid/avc1/1280x720/GPhKAkJAj_6Ie_CJ.mp4,https://video.twimg....GPhKAkJAj_6Ie_CJ.mp4,,ID:RAHJoOLG0(4/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0830 名無しどんぶらこ 2025/11/28(金) 05:07:30.36",">>827
野田は議員定数削減の議論から逃げ回ってる",,>>827,,ID:tEr9zr760(2/13),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0831 名無しどんぶらこ 2025/11/28(金) 05:07:34.74",汚れつちまった悲しみに,,,,ID:18/5ZX9E0(1/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0832 名無しどんぶらこ 2025/11/28(金) 05:08:14.63","(´・ω・`)・・・こりゃ良くないな　そんな事よりも・・・
政治と金で自民が惨敗してる事実は事実だから・・・議員定数で牽制したかったんだろうけど
朝生じゃないからな国会は

未だに政治と金の話は出て来るし・・・台湾問題は不問だが
この発言は看過できない議員定数問題も大事だし、政治と金問題を　そんな事　にしてしまうのどうなんだ？
こういった発言が続くようなら・・・？？？だぞ",,,,ID:Gw1HKK560(1/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0833 名無しどんぶらこ 2025/11/28(金) 05:08:28.96",">>824
安倍はアメリカとも中国とも仲良く付き合っていたけど
高市はアメリカからは怒られ(低金利政策、日中関係悪化)、
中国からは敵視されている
安倍よりずっとひどい",,,,ID:HQvKdYlW0(6/11),3,>>824,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0834 名無しどんぶらこ 2025/11/28(金) 05:09:24.50",そんなことよりもあんなことやこんな事も,,,,ID:ZqxaNHA00,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0835 名無しどんぶらこ 2025/11/28(金) 05:09:37.84",">>1
テレビ朝日「支持率下げてやる」",,>>1,,ID:VBb4xIB70,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0836 名無しどんぶらこ 2025/11/28(金) 05:10:34.19",">>833
韓国もチャイナアウト運動始まってる
アメリカは全く怒ってない
中国は馬鹿だからあまり刺激せずに旨く利用しようと相談しただけ",,>>833,,ID:tEr9zr760(3/13),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0837 名無しどんぶらこ 2025/11/28(金) 05:11:03.54","(´・ω・`)>>833安倍よりずっとマシ
インフレ問題は壺のミクスの負の遺産・・・相続人の高市は苦労している
アメリカに怒られてる？シナより日本を優先する意味がない
日本は同盟国・・・パヨの妄想、願望を書かれても困る",,>>833,,ID:Gw1HKK560(2/4),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0838 名無しどんぶらこ 2025/11/28(金) 05:11:35.01",">>835
勝手に自滅してるね",,>>835,,ID:18/5ZX9E0(2/4),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0839 名無しどんぶらこ 2025/11/28(金) 05:12:02.76",高市だとどんどん円安・物価高が進む,,,,ID:iVqZ1Gyv0(1/3),2,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0840 名無しどんぶらこ 2025/11/28(金) 05:13:24.80",">>838
そうだね
だから静かに訳の分からん支持率とは裏腹に最近の選挙では自民系は負け続けている
選挙結果は正直だね",,>>838,,ID:FuJ8huAC0(2/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0841 名無しどんぶらこ 2025/11/28(金) 05:14:22.12",">>839
ガソリンもう下がった、ガス代、電気代これから下がるよ",,>>839,,ID:tEr9zr760(4/13),2,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0842 名無しどんぶらこ 2025/11/28(金) 05:14:36.52",">>769
アホ程爪痕残したがるから、カンペにない台湾有事発言したわけだしな",,>>769,,ID:n/ryGr4f0(2/6),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0843 名無しどんぶらこ 2025/11/28(金) 05:15:22.29","(´・ω・`)>>839パヨの言うところの高金利なら日本経済は破綻する
減税するしかないが、財務省一派の政治屋のためにそれができない
誰がなっても、難しい・・・立憲共産党なぞ更に論外

武器輸出に舵をきってきた点で高市はうんとマシ",,>>839,,ID:Gw1HKK560(3/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0844 名無しどんぶらこ 2025/11/28(金) 05:15:24.84",">>833
でも人気はあるんだね。そこは安倍ちゃんと一緒？
カリスマ性があるのかな？",,>>833,,ID:hJeSx72+0(1/4),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0845 名無しどんぶらこ 2025/11/28(金) 05:16:50.74",">>771
デモ参加者がカルト系なのかな？
従軍慰安婦問題では日韓に分かれた統一教会信者が煽ってたのはバレ済だからな",,>>771,,ID:n/ryGr4f0(3/6),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0846 名無しどんぶらこ 2025/11/28(金) 05:17:44.91","しかし本当に高市ってのは答弁も下手くそでこうやって他人からのフォローが常に必要だし外交では恥晒すし何ができるんだ？w
漢字が読めなかった安倍でもこんなことはなかったなw",,,,ID:gE7KF2+c0(1/2),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0847 名無しどんぶらこ 2025/11/28(金) 05:18:00.37",">>841
ガソリン、コレは野党のおかげじゃないの？
電気ガスは前例踏襲

で、円安進行で輸入品は軒並み値上がりで、結局ナニやってんだか？っていう状態じゃないの？",,>>841,,ID:hJeSx72+0(2/4),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
